,WAVELENGTH(nm),AM 1.5G,EQE(%),Energy(eV),PF,EQE*PF(mA/cm²),Integrated Jsc(mA/cm²),Jsc(mA/cm²)
27,313.5,0.10757,-4.9982574613,3.955342902711324,0.027196124999999998,-0.00013593323469969745,-0.0006816198145556793,
28,314.0,0.11969,-4.6560348582,3.949044585987261,0.03030859677419355,-0.00014111788308377325,-0.000750882594001547,
29,314.5,0.1306,-4.3138122551,3.942766295707472,0.03312395161290323,-0.00014289050840508136,-0.0008218846918737606,
30,315.0,0.13625,-3.971589652,3.9365079365079363,0.034611895161290325,-0.00013746424465868953,-0.0008919733801397033,
31,315.5,0.11838,-3.7744204310000002,3.9302694136291603,0.030120072580645158,-0.00011368581733158999,-0.0009547608956372731,
32,316.0,0.12347999999999999,-3.57725121,3.9240506329113924,0.03146748387096774,-0.00011256709475307483,-0.0010113241236584393,
33,316.5,0.15036,-3.380081989,3.9178515007898893,0.038378177419354835,-0.00012972138626580776,-0.00107189624391316,
34,317.0,0.17157999999999998,-3.182912768,3.911671924290221,0.04386359677419354,-0.00013961400222298423,-0.001139230091035358,
35,317.5,0.18245,-2.985743547,3.905511811023622,0.04671602822580645,-0.0001394820798166715,-0.001209004111545272,
36,318.0,0.17594,-2.788574326,3.89937106918239,0.045120096774193555,-0.00012582074345115156,-0.0012753298173622278,
37,318.5,0.18591,-2.5914051049999998,3.893249607535322,0.047751883064516124,-0.0001237444735467501,-0.0013377211216117032,
38,319.0,0.2047,-2.394235884,3.8871473354231973,0.05266072580645161,-0.00012608219940329129,-0.0014001777898492134,
39,319.5,0.19589,-2.197066663,3.8810641627543037,0.05047327016129032,-0.00011089313924396362,-0.0014594216245110271,
40,320.0,0.20526999999999998,-1.999897442,3.875,0.052972903225806445,-0.00010594037365660386,-0.001513630002736169,
41,320.5,0.24525,-1.5451964931,3.8689547581903274,0.06338921370967743,-9.794879072456e-05,-0.0015646022938314598,
42,321.0,0.25024,-1.0904955442,3.8629283489096573,0.06477987096774195,-7.064216064417353e-05,-0.0016067500316736432,
43,321.5,0.23843000000000003,-0.6357945953000002,3.8569206842923793,0.061818745967741943,-3.930402457451401e-05,-0.001634236577978315,
44,322.0,0.22203,-0.18109364640000014,3.8509316770186337,0.05765617741935484,-1.0441167406356319e-05,-0.0016466728759735325,
45,322.5,0.21709,0.27360730249999987,3.8449612403100777,0.05646090725806451,1.5448116531581695e-05,-0.001645421138692226,
46,323.0,0.21226,0.7283082513999997,3.8390092879256965,0.055290306451612904,4.0268386411144315e-05,-0.0016314920129565447,
47,323.5,0.24861,1.1830092003,3.8330757341576507,0.06485914112903225,7.672896067920128e-05,-0.0016022426761839583,
48,324.0,0.27537,1.6377101491999997,3.8271604938271606,0.07195151612903225,0.0001178357282148436,-0.001553601503960447,
49,324.5,0.28321,2.0924110980999995,3.8212634822804312,0.07411422983870969,0.00015507743704165029,-0.0014853732126463236,
50,325.0,0.27894,2.5471120469999997,3.8153846153846156,0.07310927419354839,0.0001862175130458133,-0.0014000494751244578,
51,325.5,0.32436,3.3354205893,3.8095238095238093,0.0851445,0.0002839927183656538,-0.001282496917271591,
52,326.0,0.3812,4.123729131599999,3.803680981595092,0.10021870967741936,0.00041327481262813697,-0.0011081800345231433,
53,326.5,0.40721999999999997,4.9120376739,3.797856049004594,0.10722365322580645,0.0005266866241783504,-0.0008731896753215215,
54,327.0,0.39805999999999997,5.7003462162,3.7920489296636086,0.10497227419354838,0.0005983783060051023,-0.0005919234427756583,
55,327.5,0.38465,6.4886547585,3.786259541984733,0.10159102822580644,0.0006591891087182869,-0.00027753158909481104,
56,328.0,0.35115999999999997,7.276963300799999,3.7804878048780486,0.09288748387096774,0.0006759388112326841,5.625039089293172e-05,
57,328.5,0.37164,8.0652718431,3.774733637747336,0.09845462903225807,0.0007940633473567268,0.00042375093054028445,
58,329.0,0.42235,8.8535803854,3.768996960486322,0.11205899193548388,0.000992123293007697,0.0008702975906313904,
59,329.5,0.46878000000000003,9.6418889277,3.763277693474962,0.12456694354838711,0.0012010606337566248,0.0014185935723224708,
60,330.0,0.47139,10.43019747,3.757575757575758,0.12545056451612902,0.0013084741606262005,0.002045977270918177,
61,330.5,0.428,10.809850853,3.7518910741301057,0.1140758064516129,0.0012331424536776308,0.0026813814244941348,
62,331.0,0.40262,11.189504236,3.7462235649546827,0.10747356451612904,0.001202575905411245,0.0032903110142663535,
63,331.5,0.41806000000000004,11.569157618999999,3.7405731523378583,0.11176362096774195,0.0012930109470459799,0.0039142077273806595,
64,332.0,0.43623,11.948811002,3.7349397590361444,0.11679706451612903,0.0013955860494916264,0.004586356976515061,
65,332.5,0.43918999999999997,12.328464385,3.7293233082706765,0.11776667338709677,0.00145188223859275,0.005298224048536155,
66,333.0,0.42944,12.708117768,3.7237237237237237,0.11532541935483871,0.001465569010805277,0.006027586860885662,
67,333.5,0.40724,13.087771150999998,3.7181409295352323,0.10952785483870968,0.0014334754987889802,0.006752347988284226,
68,334.0,0.41497,13.467424534,3.712574850299401,0.11177417741935484,0.0015053102992450883,0.007487044437792743,
69,334.5,0.44509,13.847077917,3.7070254110612857,0.12006661693548386,0.0016625717999362369,0.008279014962588075,
70,335.0,0.46388,14.226731299999999,3.701492537313433,0.1253224193548387,0.0017829283860272094,0.009140390009078935,
71,335.5,0.45313000000000003,14.140565978,3.6959761549925485,0.1226008991935484,0.0017336461040084981,0.010019533631587862,
72,336.0,0.41518999999999995,14.054400655999999,3.6904761904761907,0.11250309677419353,0.001581163597105257,0.0108482360568663,
73,336.5,0.38214000000000004,13.968235334,3.6849925705794946,0.10370170161290324,0.0014485297726652797,0.011605659399308934,
74,337.0,0.3738,13.882070012,3.679525222551929,0.10158919354838711,0.0014102682973013286,0.012320358916800587,
75,337.5,0.40051,13.79590469,3.674074074074074,0.10900977822580644,0.001503888510681263,0.013048898118796235,
76,338.0,0.43411000000000005,13.709739368,3.668639053254438,0.11832998387096776,0.0016222732382906117,0.013830438556039203,
77,338.5,0.45527,13.623574046,3.6632200886262924,0.12428136693548388,0.0016931564049836607,0.01465929596685777,
78,339.0,0.46355,13.537408724,3.657817109144543,0.12672858870967743,0.0017155767023785953,0.015511479243698334,
79,339.5,0.47446000000000005,13.451243402,3.6524300441826214,0.12990255645161292,0.0017473509053726908,0.016377211145636155,
80,340.0,0.5018,13.36507808,3.6470588235294117,0.13759032258064516,0.0018389054043427095,0.017273775223065006,
81,340.5,0.50071,13.498413481,3.6417033773861966,0.13749335080645161,0.0018559421000736687,0.018197487099169102,
82,341.0,0.47139,13.631748882,3.6363636363636362,0.12963225,0.0017671142790086445,0.01910325119393968,
83,341.5,0.46935,13.765084283,3.6310395314787702,0.12926050403225806,0.0017792817324670937,0.019989850196808615,
84,342.0,0.48933999999999994,13.898419684,3.625730994152047,0.13496312903225804,0.0018757742091561672,0.02090361418221443,
85,342.5,0.50767,14.031755085,3.6204379562043796,0.14022336693548385,0.0019675799420327965,0.021864452720011668,
86,343.0,0.51489,14.165090486,3.6151603498542273,0.14242521774193548,0.002017466096802769,0.02286071422972056,
87,343.5,0.48608999999999997,14.298425887,3.6098981077147014,0.13465477016129032,0.001925351251482229,0.02384641856679181,
88,344.0,0.41843,14.431761288,3.604651162790698,0.11608058064516129,0.0016752472300434007,0.024746568187173218,
89,344.5,0.40307,14.565096689,3.5994194484760524,0.11198194758064516,0.0016310278939346264,0.025573136968167726,
90,345.0,0.45898,14.69843209,3.5942028985507246,0.12770008064516128,0.0018769909632504265,0.026450141682463988,
91,345.5,0.48932,14.863143715000001,3.5890014471780027,0.13633875806451612,0.0020264225550375185,0.027425995062035975,
92,346.0,0.47778000000000004,15.02785534,3.5838150289017343,0.13331603225806452,0.0020034540472769675,0.028433464212614598,
93,346.5,0.48657,15.192566965000001,3.578643578643579,0.13596492338709676,0.0020656562034495622,0.02945074177529623,
94,347.0,0.49404,15.35727859,3.5734870317002883,0.13825151612903225,0.0021231670486834267,0.030497947588329476,
95,347.5,0.47673999999999994,15.521990215,3.568345323741007,0.13360254032258062,0.0020737773235862396,0.03154718368139689,
96,348.0,0.47511000000000003,15.686701840000001,3.5632183908045976,0.13333732258064518,0.0020916228234664803,0.03258853371816007,
97,348.5,0.48336,15.851413465,3.558106169296987,0.13584754838709678,0.0021533756576904654,0.033649783338449306,
98,349.0,0.46563999999999994,16.01612509,3.5530085959885387,0.13105512903225805,0.0020989953402667356,0.034712876087938604,
99,349.5,0.47805,16.180836715,3.547925608011445,0.13474070564516127,0.0021802173569082334,0.035782679262232345,
100,350.0,0.52798,16.34554834,3.5428571428571427,0.1490266129032258,0.002435921705156145,0.03693671402774844,
101,350.5,0.5674100000000001,16.452726383,3.537803138373752,0.1603848427419355,0.0026387679336135486,0.03820538643744086,
102,351.0,0.55172,16.559904426,3.532763532763533,0.15617235483870967,0.0025861992701123908,0.03951162823837235,
103,351.5,0.53022,16.667082469,3.52773826458037,0.15030026612903227,0.0025050669306852283,0.04078444478857175,
104,352.0,0.51791,16.774260512,3.522727272727273,0.1470196129032258,0.002466145287212106,0.04202724784304609,
105,352.5,0.48962,16.881438555000003,3.517730496453901,0.13918633064516128,0.002349665488482204,0.04323120053696967,
106,353.0,0.5204,16.988616598,3.5127478753541075,0.14814612903225807,0.0025167977866068694,0.04444781635574194,
107,353.5,0.57228,17.095794641,3.5077793493635077,0.16314595161290324,0.0027891096852847167,0.04577429322371483,
108,354.0,0.6049800000000001,17.202972684000002,3.5028248587570623,0.17271203225806453,0.0029711603731336113,0.047214360738319416,
109,354.5,0.61156,17.310150727,3.4978843441466854,0.17483711290322582,0.0030264567770283556,0.04871376502585991,
110,355.0,0.6114,17.41732877,3.492957746478873,0.17503790322580648,0.003048692707695315,0.05023255239704083,
111,355.5,0.59028,17.411074389,3.488045007032349,0.16922946774193548,0.0029464668516657145,0.05173134228688109,
112,356.0,0.55387,17.404820008,3.4831460674157304,0.15901429032258063,0.0027676151017643723,0.05315986277523861,
113,356.5,0.51942,17.398565627,3.4782608695652173,0.14933325,0.002598184350418198,0.054501312638284255,
114,357.0,0.45673,17.392311246000002,3.473389355742297,0.13149404032258064,0.002286985276284397,0.055722605044959905,
115,357.5,0.46215,17.386056865,3.4685314685314683,0.13324082661290323,0.002316532588231541,0.05687348451108889,
116,358.0,0.43006000000000005,17.379802484,3.463687150837989,0.12416248387096775,0.002157919445600255,0.057992097519546836,
117,358.5,0.39926,17.373548103,3.4588563458856347,0.11543121774193547,0.0020054498140273836,0.05903293983445375,
118,359.0,0.46953,17.367293722,3.4540389972144845,0.13593650806451613,0.002360849263099473,0.06012451460373546,
119,359.5,0.5654899999999999,17.361039341,3.4492350486787204,0.1639464959677419,0.0028462815663150656,0.0614262973110891,
120,360.0,0.59817,17.35478496,3.4444444444444446,0.1736622580645161,0.0030138711443777025,0.06289133548876229,
121,360.5,0.5653100000000001,17.363937276,3.439667128987517,0.1643502056451613,0.0028537666621202824,0.06435824494038678,
122,361.0,0.5202399999999999,17.373089592,3.434903047091413,0.15145696774193546,0.0026312754699132986,0.06572950547339518,
123,361.5,0.50956,17.382241908,3.4301521438450897,0.14855317741935484,0.002582187266105269,0.06703287115739982,
124,362.0,0.5342,17.391394224,3.425414364640884,0.15595193548387096,0.002712221589995814,0.0683564733714251,
125,362.5,0.5851,17.40054654,3.420689655172414,0.17104737903225803,0.002976317879395826,0.06977860823877301,
