,WAVELENGTH(nm),EQE(%),Integrated Jsc(mA/cm²),Jsc(mA/cm²)
145,1025.0,-0.013504266000000001,6.384974257471154,
146,1030.0,-0.010773712,6.3849394113475135,
147,1035.0,0.025260257999999997,6.384959908628866,
148,1040.0,0.009448106,6.3850090592056645,
149,1045.0,0.008039481999999999,6.385033654365113,
150,1050.0,0.031443837999999995,6.385088504712168,
151,1055.0,0.0036597820000000003,6.385137045842809,
152,1060.0,-0.015910408,6.385120560097012,
153,1065.0,-0.020724423999999998,6.385071257825117,
154,1070.0,0.049957369,6.385108899746404,
155,1075.0,-0.02252237,6.385145245980057,
156,1080.0,-0.027489486,6.385079587045492,
157,1085.0,0.0007618719999999999,6.385045273311051,
158,1090.0,0.071500229,6.385136271646641,
159,1095.0,-0.020455734,6.385200660953105,
160,1100.0,-0.068365589,6.385099227839981,
